1-2                     EXTRA CORSA
4-5                     INTER FOSSA
5-6                     ALT CABINA
6-7                     PARACADUTE
7-8                     PRELIMINARI
8-9                     PORTE CABINA(SIA IN BATTENTE CHE IN AUTOMATICO)
9-10                    BLOCCHI

CB                      COMUNE PULSANTI CABINA
CE                      COMUNE PULSANTI PIANI
0-1...                  CHIAMATE (SU PERIFERICA)
GND-MA/MB               DEVIATORE MANUTENZIONE
UP-DW                   PULSANTI ISPEZIONE
GND-FCD                 BISTABILE FINE CORSA DISCESA
GND-FCS                 BISTABILE FINE CORSA SALITA
GND-ID                  INDUTTORE CONTEGGIO DISCESA
GND-IS                  INDUTTORE CONTEGGIO SALITA
GND-IP1, GND-IP2        INDUTTORI CABINA AL PIANO E ZONA SICUREZZA  
GND-PA                  PULSANTE APERTURA PORTE
GND-SVR                 CONTATTO SOVRACCARICO
GND-CM1                 COSTOLA-FOTOCELLULA LATO 1
GND-CM2                 COSTOLA-FOTOCELLULA LATO 2

CFC-FA1                 CONTATTO FINECORSA APERTURA PORTE LATO 1
CFC-FC1                 CONTATTO FINECORSA CHIUSURA PORTE LATO 1
CFC-FA2                 CONTATTO FINECORSA APERTURA PORTE LATO 2
CFC-FC2                 CONTATTO FINECORSA CHIUSURA PORTE LATO 2
CL                      COMUNE LUMINOSE
PE                      RITORNO PRESENTE
CL-PE                   ALIMENTAZIONE FOTOCELLULA
CL-0, CL-1...           SEGNALAZIONI POSIZIONE (SU PERIFERICA)
CL-FS                   SEGNALAZIONE FRECCIA SALITA
CL-FD                   SEGNALAZIONE FRECCIA DISCESA
CL-SV                   SEGNALAZIONE SOVRACCARICO
CL-GON                  SEGNALAZIONE GONG IN CABINA

T1                      MORSETTO INGRESSO POSIZIONE ZERO PER A3 (DA PONTICELLARE CON CL o PE)

